Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info	Validation	Match
gltS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('gltS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
gntU	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('gntU', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
gshB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('gshB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
guaC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('guaC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
gudD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('gudD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
hemF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('hemF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
hemH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('hemH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
hrpA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('hrpA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
hscC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('hscC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
hycD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('hycD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
idnK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('idnK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ilvB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ilvB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
iroD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('iroD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
iroE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('iroE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
iroN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('iroN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
katG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('katG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
kdsA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('kdsA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
kefC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('kefC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ligA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ligA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ligT	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ligT', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
livM	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('livM', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
lon	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('lon', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
lpfC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('lpfC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
lpxA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('lpxA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
malE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('malE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
malF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('malF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
malT	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('malT', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
map	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('map', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
marA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('marA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
marC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('marC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mazG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mazG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mdlB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mdlB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mdoB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mdoB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
metH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('metH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
metK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('metK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mfd	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mfd', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mig-14	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mig-14', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mig-3	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mig-3', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mod	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mod', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
msbA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('msbA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
msbB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('msbB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mtr	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mtr', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mutH	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mutH', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mutL	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mutL', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
mutS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('mutS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
narK	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('narK', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
narQ	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('narQ', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
nei	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('nei', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
nepI	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('nepI', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
nhoA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('nhoA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
nrdE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('nrdE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
nrfE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('nrfE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
nuoE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('nuoE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
nuoG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('nuoG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
oppC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('oppC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
otsB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('otsB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
panF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('panF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
parE	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('parE', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
pepA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('pepA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
pfkB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('pfkB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
pflF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('pflF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
phrB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('phrB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
pntA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('pntA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ppk	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ppk', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
priA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('priA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
pspA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('pspA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
pstS	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('pstS', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ptsP	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ptsP', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
ratA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('ratA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rbsB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rbsB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rbsR	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rbsR', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rdgC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rdgC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
recN	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('recN', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rffG	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rffG', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rimM	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rimM', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rna	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rna', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rne	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rne', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rplO	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rplO', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rplP	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rplP', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rpoD	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rpoD', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rseC	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rseC', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rspA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rspA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rtcA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rtcA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
rtcB	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('rtcB', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
safA	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('safA', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
sapF	is not mutated by antibiotic	Streptomycin	0.2569793873	1	Salm	2	0.2569793873	0.0	[(('sapF', 'is mutated by antibiotic', 'Streptomycin'), ['Salm'], 0.25697938734080367)]		
